VARIETY,FIBER,MSTWT,POPN,TRS_TON,TCA,T_SPACRE
1999821,12.51007428,2.472981896,36966.70961,249.1464844,45.70900181,11388.23711
1999822,12.12068576,2.422030981,37333.58849,246.6126473,45.21155398,11149.74101
1999825,12.00852787,2.195618836,39452.63019,252.309837,43.31146899,10927.90968
1999829,12.45238535,2.520438926,36665.25285,252.7773651,46.20626526,11679.89798
1999832,11.97104254,2.215902052,37812.44041,250.9261343,41.89433215,10512.38281
1999833,12.45291799,2.426326384,39250.24189,254.7753294,47.61694874,12131.6238
1999838,11.82866451,2.501793316,38141.38696,254.1221506,47.71093348,12124.40502
1999839,11.89514073,2.652809536,35533.25783,249.3504311,47.13148261,11752.25551
1999854,12.64454509,2.306206358,38908.101,250.310706,44.86505495,11230.20358
1999855,12.12026048,2.457444937,38930.12772,246.4684278,47.83432263,11789.65029
1999857,12.3549914,2.539452686,38107.91649,244.1419731,48.38662544,11813.20621
1999859,12.05804258,2.435362787,39346.20625,252.6047692,47.91114326,12102.58328
1999861,12.97057399,2.469668295,38735.70148,250.8834638,47.83216691,12000.29972
1999862,12.25449372,2.244126014,41222.42175,254.4831817,46.2541545,11770.90441
1999866,11.5614657,2.248401949,38906.6296,248.5434757,43.73887091,10871.011
1999870,12.63395268,2.191365417,41835.49073,250.3522099,45.83842379,11475.7507
2000247,12.46333087,2.051990528,42880.88273,235.4929872,43.9955826,10360.65117
2000266,12.37968133,1.961484823,38393.36886,252.9893386,37.65400516,9526.061861
2000900,12.49717925,2.461810972,43152.74158,250.3276812,53.11694635,13296.64201
2000901,12.47791309,2.512979354,41346.20332,247.6684928,51.95107765,12866.6451
2000902,12.23301197,2.307349968,48913.9181,226.2344377,56.43076368,12766.58209
2000903,11.60043227,2.300958918,48405.47863,231.0788154,55.68950887,12868.66574
2000904,12.53543748,2.387129652,45104.62943,241.6957266,53.83529918,13011.76175
2000905,12.05885136,2.26049054,40864.57299,249.0783749,46.18699033,11504.18049
2000906,12.57068988,2.384460433,43795.32661,242.5822798,52.21411173,12666.21826
2000907,12.14652552,2.576968398,41472.33554,242.0361979,53.43644904,12933.55495
2000908,12.37783144,2.401840113,41587.94103,248.811847,49.94379249,12426.60726
2000909,12.05460569,2.529582256,37584.65456,254.1299407,47.53673764,12080.50832
2000910,11.82433305,2.424514406,41952.21306,243.3780605,50.85687246,12377.44698
2000911,12.23111344,2.515130378,38010.42194,245.592032,47.80058345,11739.44242
